a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10
0,1,1,hardened,8,dog_splode,5,jug_regular jug_regular jug_regular jug_regular,,,,
1,1,2,hardened,10,dog_splode,5,jug_regular jug_regular jug_riotshield jug_riotshield jug_riotshield,,,
2,1,3,hardened,15,dog_splode claymore,5 5,jug_regular jug_riotshield jug_explosive jug_explosive jug_explosive jug_explosive,,,
3,1,4,hardened,10,martyrdom regular,6 8,jug_regular,chopper chopper,,
4,0,5,hardened,10,regular,10,jug_regular jug_regular,chopper chopper,,,,,
5,0,6,hardened,5,dog_splode regular,2 10,jug_explosive jug_regular,chopper,,weapon
6,1,7,veteran,7,hardened regular,7 7,jug_regular jug_explosive jug_riotshield,,,
7,1,8,veteran,9,chemical martyrdom dog_splode,7 3 3,jug_riotshield jug_riotshield jug_explosive jug_regular jug_regular,chopper,,equipment
8,1,9,veteran,15,chemical martyrdom hardened,3 3 5,,,,
9,1,10,veteran,20,chemical claymore,3 3,,,,
10,0,11,veteran,8,elite dog_splode,8 2,jug_riotshield jug_explosive jug_explosive jug_regular,chopper chopper,,airsupport
11,1,12,elite,20,dog_reg,6,,,,,,
12,1,13,elite,21,dog_splode,5,,,,,,
13,0,14,elite,10,chemical veteran,3 5,jug_regular jug_regular jug_explosive jug_explosive jug_explosive jug_explosive jug_explosive jug_riotshield,chopper,,,
14,1,15,elite,20,chemical martyrdom,3 3,,,,
15,0,16,elite,10,dog_splode claymore easy,5 6 5,,chopper chopper chopper chopper chopper chopper,,
16,1,17,elite,10,regular chemical martyrdom,6 8 2,,,,
17,0,18,elite,9,veteran chemical claymore,9 3 6,jug_riotshield jug_explosive,chopper,,
18,0,19,elite,10,dog_splode,8,jug_regular jug_regular jug_regular jug_regular jug_regular jug_explosive jug_explosive jug_explosive jug_explosive jug_explosive jug_explosive jug_explosive jug_riotshield jug_riotshield jug_riotshield jug_riotshield,chopper,,
19,1,20,elite,10,veteran chemical easy dog_splode,6 4 3 2,,,1,
20,1,21,elite,15,claymore regular hardened,2 5 5,,,1,
21,0,22,elite,10,dog_splode veteran,4 6,jug_explosive jug_explosive jug_explosive jug_riotshield jug_regular jug_regular jug_regular jug_riotshield jug_riotshield,chopper chopper chopper,1,
22,0,23,elite,14,hardened dog_splode,8 4,,chopper chopper chopper chopper,1,
23,0,24,elite,15,chemical dog_splode jug_MW2,4 5 2,,,1,
24,0,25,elite,10,claymore dog_splode jug_MW2 regular,4 5 3 4,,chopper chopper chopper chopper chopper,1,
25,0,26,elite,10,claymore chemical regular jug_MW2,5 5 5 1,,,1,
26,0,27,elite,12,martyrdom dog_splode jug_MW2,2 4 3,jug_explosive jug_explosive jug_explosive jug_riotshield jug_regular jug_regular jug_regular jug_riotshield jug_riotshield,chopper chopper chopper,1,
1000,weapon_1,iw5_riotshield_so,,,,,,,,
1001,weapon_2,iw5_usp45_mp,160,,,,,,,
1002,weapon_3,iw5_fnfiveseven_mp,160,,,,,,,
1003,grenade_1,fraggrenade,4,,,,,,,,
1004,grenade_2,flash_grenade,4,,,,,,,
1005,equipment_1,laststand,1,,,,,,,
1006,equipment_2,laststand,1,,,,,,,
1007,equipment_3,laststand,1,,,,,,,
1008,airsupport_1,friendly_support_riotshield,,,,,,,,
1009,airsupport_2,,,,,,,,,
1010,airsupport_3,,,,,,,,,
1011,perk_1,specialty_fastreload,,,,,,,,
1012,perk_2,,,,,,,,,
1013,perk_3,,,,,,,,,
1014,armor_1,armor,2000,,,,,,,
